"customer_id","product_name","total_sales","avg_product_price","num_orders","num_products"
1,"Camp Collared",392,112.0,2,2
1,"Leather",294,113.0,2,2
1,"Pullover",455,114.0,1,2
10,"Relaxed Leg",270,95.0,1,1
18,"Cardigan",224,118.0,1,1
18,"Casual Slim Fit",238,113.0,1,1
18,"Chambray",106,105.0,1,1
18,"Cuban Collar",105,93.0,1,1
18,"Denim",184,115.0,1,1
18,"Flannel",118,96.0,1,1
18,"Joggers",186,94.0,1,1
18,"Leather",294,113.0,1,1
18,"Linen",91,116.0,1,1
18,"Mandarin Collar",109,108.0,1,1
18,"Oxford Cloth",192,114.0,1,1
18,"Slim-Fit",97,119.0,1,1
18,"Trench Coat",357,112.0,1,1
20,"Chinos",339,100.0,1,1
20,"Linen",182,116.0,1,1
20,"Oxford Cloth",96,114.0,1,1
20,"Relaxed Leg",90,95.0,1,1
20,"Tracksuit Bottoms",112,91.0,1,1
21,"Cuban Collar",105,93.0,1,1
21,"Shearling",117,95.0,1,1
22,"Cargo Pants",306,106.0,1,1
22,"Casual Slim Fit",238,113.0,1,1
22,"Chambray",106,105.0,1,1
22,"Cords",94,113.0,1,1
22,"Dress",312,119.0,1,1
22,"Flannel",354,96.0,1,1
22,"Joggers",93,94.0,1,1
22,"Puffer",472,110.0,1,2
22,"Pullover",273,114.0,1,1
22,"Slim-Fit",291,119.0,1,1
40,"Casual Slim Fit",119,113.0,1,1
40,"Peacoat",109,102.0,1,1
40,"Wool",318,111.0,1,1
42,"Bomber",200,90.0,1,1
42,"Cargo Pants",204,106.0,1,1
42,"Chambray",212,105.0,1,1
42,"Leather",392,113.0,1,2
42,"Pullover",91,114.0,1,1
49,"Coach",93,115.0,1,1
49,"Cropped",230,99.0,1,1
49,"Cuban Collar",105,93.0,1,1
49,"Slim-Fit",388,119.0,1,2
50,"Casual Slim Fit",238,113.0,1,1
50,"Denim",276,115.0,1,1
50,"Mandarin Collar",327,108.0,1,1
50,"Relaxed Leg",180,95.0,1,1
50,"Slim-Fit",97,119.0,1,1
50,"Trench Coat",357,112.0,1,1
70,"Polo",190,117.0,1,1
70,"Trench Coat",357,112.0,1,1
73,"Casual Slim Fit",357,113.0,1,1
73,"Denim",92,115.0,1,1
73,"Pullover",91,114.0,1,1
73,"Shearling",234,95.0,1,1
73,"Windbreaker",102,109.0,1,1
75,"Camp Collared",294,112.0,1,1
75,"Cardigan",224,118.0,1,1
75,"Casual Slim Fit",595,113.0,2,2
75,"Cords",282,113.0,1,1
75,"Dress",208,119.0,1,1
75,"Flannel",118,96.0,1,1
75,"High-Waisted",99,98.0,1,1
75,"Peacoat",218,102.0,1,1
75,"Polo",95,117.0,1,1
75,"Tracksuit Bottoms",336,91.0,2,2
75,"Windbreaker",102,109.0,1,1
76,"Chambray",318,105.0,1,1
76,"Joggers",93,94.0,1,1
76,"Puffer",118,110.0,1,1
81,"Denim",475,107.33333333333333,1,3
81,"Leather",98,113.0,1,1
81,"Oxford Cloth",288,114.0,1,1
81,"Puffer",118,110.0,1,1
81,"Pullover",273,114.0,1,1
81,"Tracksuit Bottoms",336,91.0,1,1
86,"Coach",93,115.0,1,1
86,"Mandarin Collar",218,108.0,1,1
86,"Parka",339,119.0,1,1
86,"Puffer",354,110.0,1,1
89,"Flannel",236,96.0,1,1
89,"Pleated",315,90.0,1,1
89,"Trench Coat",357,112.0,1,1
92,"Shearling",117,95.0,1,1
96,"Camp Collared",294,112.0,1,1
96,"Cardigan",336,118.0,1,1
96,"Flannel",118,96.0,1,1
96,"Joggers",93,94.0,1,1
96,"Pleated",210,90.0,1,1
96,"Shearling",234,95.0,1,1
100,"Cargo Pants",204,106.0,1,1
100,"Casual Slim Fit",119,113.0,1,1
100,"Cords",94,113.0,1,1
100,"Cropped",115,99.0,1,1
100,"Cuban Collar",210,93.0,1,1
100,"Denim",321,92.0,1,1
100,"Linen",91,116.0,1,1
100,"Oxford Cloth",288,114.0,2,2
100,"Pleated",105,90.0,1,1
100,"Tracksuit Bottoms",336,91.0,1,1
100,"Trench Coat",476,112.0,1,2
102,"Cardigan",336,118.0,1,1
102,"Cargo Pants",102,106.0,1,1
102,"Henley",94,92.0,1,1
102,"Parka",113,119.0,1,1
102,"Pleated",315,90.0,1,1
102,"Slim-Fit",97,119.0,1,1
106,"Chinos",339,100.0,1,1
106,"Cuban Collar",315,93.0,1,1
106,"Denim",92,115.0,1,1
106,"Drawstring",192,104.0,1,1
106,"Dress",208,119.0,1,1
106,"Henley",282,92.0,1,1
106,"High-Waisted",99,98.0,1,1
106,"Leather",196,113.0,1,2
106,"Pleated",315,90.0,1,1
106,"Polo",285,117.0,1,1
106,"Puffer",118,110.0,1,1
106,"Relaxed Leg",90,95.0,1,1
107,"Chambray",530,105.0,2,2
107,"Cropped",345,99.0,1,2
107,"Drawstring",192,104.0,1,1
107,"Dress",416,119.0,2,2
107,"Joggers",186,94.0,1,2
107,"Leather",196,113.0,1,1
107,"Parka",339,119.0,1,1
107,"Shearling",351,95.0,1,1
107,"Wool",1060,111.0,2,4
112,"Chambray",106,105.0,1,1
112,"Cuban Collar",210,93.0,1,1
112,"Denim",321,92.0,1,1
112,"Pullover",273,114.0,1,1
112,"Shearling",468,95.0,1,2
