"customer_id","order_id","order_date","product_type","quantity"
1,455,"2021-04-04","Jacket",2
1,455,"2021-04-04","Shirt",3
1,670,"2021-03-06","Jacket",2
1,670,"2021-03-06","Jacket",2
1,670,"2021-03-06","Shirt",1
1,670,"2021-03-06","Jacket",3
1,729,"2021-02-18","Shirt",3
1,729,"2021-02-18","Jacket",1
7,465,"2021-05-21","Jacket",1
7,465,"2021-05-21","Trousers",2
7,465,"2021-05-21","Trousers",3
7,465,"2021-05-21","Shirt",1
7,465,"2021-05-21","Trousers",2
10,595,"2021-03-09","Trousers",3
11,560,"2021-05-28","Jacket",2
11,560,"2021-05-28","Shirt",2
12,134,"2021-06-19","Trousers",2
12,134,"2021-06-19","Trousers",1
12,134,"2021-06-19","Jacket",3
12,134,"2021-06-19","Shirt",2
12,134,"2021-06-19","Trousers",2
12,134,"2021-06-19","Shirt",2
12,134,"2021-06-19","Jacket",1
12,134,"2021-06-19","Jacket",2
13,398,"2021-09-28","Jacket",1
13,398,"2021-09-28","Jacket",1
13,398,"2021-09-28","Jacket",1
15,200,"2021-08-24","Trousers",2
15,200,"2021-08-24","Trousers",2
15,200,"2021-08-24","Trousers",3
15,200,"2021-08-24","Shirt",2
15,200,"2021-08-24","Trousers",1
15,200,"2021-08-24","Jacket",3
15,995,"2021-04-14","Jacket",1
15,995,"2021-04-14","Shirt",3
15,995,"2021-04-14","Shirt",1
15,995,"2021-04-14","Jacket",3
15,995,"2021-04-14","Jacket",1
15,995,"2021-04-14","Jacket",2
18,191,"2021-01-22","Shirt",2
18,191,"2021-01-22","Shirt",2
18,191,"2021-01-22","Shirt",1
18,191,"2021-01-22","Shirt",1
18,191,"2021-01-22","Trousers",2
18,191,"2021-01-22","Shirt",1
18,354,"2021-02-26","Shirt",1
18,354,"2021-02-26","Shirt",2
18,354,"2021-02-26","Trousers",1
18,354,"2021-02-26","Jacket",3
18,354,"2021-02-26","Jacket",3
18,354,"2021-02-26","Shirt",1
18,354,"2021-02-26","Jacket",2
19,274,"2021-04-13","Trousers",1
19,274,"2021-04-13","Trousers",1
19,274,"2021-04-13","Trousers",2
19,274,"2021-04-13","Shirt",3
19,274,"2021-04-13","Jacket",3
19,274,"2021-04-13","Jacket",1
20,641,"2021-03-10","Shirt",2
20,641,"2021-03-10","Shirt",1
20,641,"2021-03-10","Trousers",1
20,641,"2021-03-10","Trousers",3
20,641,"2021-03-10","Trousers",1
21,377,"2021-05-19","Trousers",2
21,377,"2021-05-19","Trousers",1
21,377,"2021-05-19","Trousers",3
21,377,"2021-05-19","Shirt",2
21,377,"2021-05-19","Shirt",1
21,377,"2021-05-19","Shirt",3
21,377,"2021-05-19","Jacket",1
21,377,"2021-05-19","Trousers",1
